routeid,stand1,stand2,stand3,stand4,stand5,stand6
341UP_DTC,"['245', 'Jahangir Puri Metro Station', '245', 'Jahangir Puri Metro Station']",,,,,
348DOWN_DTC,"['temp_5480', 'Vinod Nagar', 'temp_8368', 'Vinod Nagar']",,,,,
349ADOWN_DTC,"['temp_7323', 'Mother Dairy', '1847', 'Mother Dairy']","['temp_4533', 'ITO', '134', 'ITO']",,,,
349AUP_DTC,"['temp_5480', 'Vinod Nagar', 'temp_8368', 'Vinod Nagar']",,,,,
349DOWN_DTC,"['temp_7323', 'Mother Dairy', '1847', 'Mother Dairy']",,,,,
34ADOWN_DTC,"['2483', 'Ambedkar Nagar Depot', 'temp_4440', 'Ambedkar Nagar Depot']",,,,,
34AUP_DTC,"['173', 'C-1 Janak Puri', '174', 'C-1 Janak Puri']","['335', 'Sarita Vihar', 'temp_5654', 'Sarita Vihar']","['2558', 'Timarpur', '199', 'Timarpur']",,,
34DOWN_DTC,"['2483', 'Ambedkar Nagar Depot', 'temp_4440', 'Ambedkar Nagar Depot']",,,,,
34UP_DTC,"['335', 'Sarita Vihar', 'temp_5654', 'Sarita Vihar']",,,,,
355DOWN_DTC,"['447', 'Nizamuddin Road Bridge', 'temp_5439', 'Nizamuddin Road Bridge']",,,,,
355UP_DTC,"['447', 'Nizamuddin Road Bridge', 'temp_5439', 'Nizamuddin Road Bridge']","['temp_5439', 'Nizamuddin Road Bridge', 'temp_5439', 'Nizamuddin Road Bridge']",,,,
374DOWN_DTC,"['temp_7175', 'Sunder Nagar', 'temp_7175', 'Sunder Nagar']","['1516', 'Nehru Place', '1702', 'Nehru Place']","['1702', 'Nehru Place', 'temp_5652', 'Nehru Place']",,,
374UP_DTC,"['1516', 'Nehru Place', '1702', 'Nehru Place']","['342', 'Pant Nagar', '342', 'Pant Nagar']","['temp_5136', 'Welcome Metro Station', 'temp_5136', 'Welcome Metro Station']",,,
375DOWN_DTC,"['65', 'Ram Prastha Temple', 'temp_4985', 'Ram Prastha Temple']",,,,,
375UP_DTC,"['1516', 'Nehru Place', '1702', 'Nehru Place']",,,,,
392BDOWN_DTC,"['1217', 'APS Colony', 'temp_5538', 'APS Colony']",,,,,
39ADOWN_DTC,"['771', 'Ram Prastha Crossing', '66', 'Ram Prastha Crossing']",,,,,
39AUP_DTC,"['683', 'Shastri Nagar Shiv Mandir', '683', 'Shastri Nagar Shiv Mandir']",,,,,
39DOWN_DTC,"['2333', 'Ramleela Ground Geeta Colony', '4205', 'Ramleela Ground Geeta Colony']",,,,,
400UP_DTC,"['1792', 'Mata Mandir New Friends Colony', 'temp_5701', 'Mata Mandir New Friends Colony']",,,,,
402UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']","['temp_5701', 'Mata Mandir New Friends Colony', 'temp_5701', 'Mata Mandir New Friends Colony']",,,
403UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']","['temp_5701', 'Mata Mandir New Friends Colony', 'temp_5701', 'Mata Mandir New Friends Colony']",,,
405AUP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']",,,,
405UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']",,,,
408DOWN_DTC,"['2520', 'Moti Nagar Market', '1532', 'Moti Nagar Market']",,,,,
408UP_DTC,"['3983', 'Raghubir Nagar Gurudwara A Block', '3983', 'Raghubir Nagar Gurudwara A Block']","['2520', 'Moti Nagar Market', '1532', 'Moti Nagar Market']",,,,
410DOWN_DTC,"['2520', 'Moti Nagar Market', '1532', 'Moti Nagar Market']",,,,,
410UP_DTC,"['2520', 'Moti Nagar Market', '1532', 'Moti Nagar Market']",,,,,
411UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']",,,,
413DOWN_DTC,"['temp_5679', 'Geetanjali Enclave', '3416', 'Geetanjali Enclave']",,,,,
413UP_DTC,"['temp_5744', 'PNB Geetanjali', 'temp_5680', 'PNB Geetanjali']",,,,,
419DOWN_DTC,"['1093', 'Kaka Nagar', '1093', 'Kaka Nagar']",,,,,
419UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']",,,,,
423DOWN_DTC,"['1093', 'Kaka Nagar', '1093', 'Kaka Nagar']",,,,,
423UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']",,,,,
425DOWN_DTC,"['1071', 'DDA Flats Kalka Ji', '1073', 'DDA Flats Kalka Ji']","['1093', 'Kaka Nagar', '1093', 'Kaka Nagar']",,,,
425UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['1516', 'Nehru Place', '1702', 'Nehru Place']",,,,
427ADOWN_DTC,"['173', 'C-1 Janak Puri', 'temp_4439', 'C-1 Janak Puri']",,,,,
427AUP_DTC,"['temp_4439', 'C-1 Janak Puri', '1479', 'C-1 Janak Puri']",,,,,
429DOWN_DTC,"['1072', 'DDA Market kalka Ji', '1072', 'DDA Market kalka Ji']","['1521', 'Govindpuri Extn Gali No. 16', '1521', 'Govindpuri Extn Gali No. 16']",,,,
429UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']",,,,
433AUP_DTC,"['468', 'Kalkaji Mandir (MaaAnandmayeeMarg)', '468', 'Kalkaji Mandir (MaaAnandmayeeMarg)']",,,,,
440ADOWN_DTC,"['1516', 'Nehru Place', '1702', 'Nehru Place']",,,,,
440AUP_DTC,"['1516', 'Nehru Place', '1702', 'Nehru Place']",,,,,
440UP_DTC,"['331', 'Lodhi Colony', '2426', 'Lodhi Colony']",,,,,
443ADOWN_DTC,"['1297', 'Shakarpur', '130', 'Shakarpur']",,,,,
443DOWN_DTC,"['3514', 'Kalindi Kunj', '310', 'Kalindi Kunj']",,,,,
443UP_DTC,"['2558', 'Timarpur', '199', 'Timarpur']","['temp_5654', 'Sarita Vihar', 'temp_5654', 'Sarita Vihar']",,,,
445DOWN_DTC,"['4229', 'C R Park Market 1', '4216', 'C R Park Market 1']","['1516', 'Nehru Place', '1702', 'Nehru Place']","['1093', 'Kaka Nagar', '1093', 'Kaka Nagar']",,,
445UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['4229', 'C R Park Market 1', '4216', 'C R Park Market 1']",,,,
447UP_DTC,"['2570', 'Gopal Pur / Jagat Pur Crossing', '2570', 'Gopal Pur / Jagat Pur Crossing']","['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']","['1516', 'Nehru Place', '1702', 'Nehru Place']","['1702', 'Nehru Place', 'temp_5652', 'Nehru Place']",
448UP_DTC,"['temp_5744', 'PNB Geetanjali', 'temp_5680', 'PNB Geetanjali']",,,,,
450DOWN_DTC,"['3383', 'Lajpat Nagar Ring Road', '3383', 'Lajpat Nagar Ring Road']",,,,,
460UP_DTC,"['temp_5712', 'Power House', 'temp_4456', 'Power House']",,,,,
463DOWN_DTC,"['1521', 'Govindpuri Extn Gali No. 16', '1521', 'Govindpuri Extn Gali No. 16']",,,,,
463UP_DTC,"['3704', 'Lado Sarai Crossing (Aurobindo Marg)', '3704', 'Lado Sarai Crossing (Aurobindo Marg)']",,,,,
469DOWN_DTC,"['1521', 'Govindpuri Extn Gali No. 16', '1521', 'Govindpuri Extn Gali No. 16']",,,,,
469UP_DTC,"['67', 'Anand Vihar ISBT Main Road', '67', 'Anand Vihar ISBT Main Road']",,,,,
473ADOWN_DTC,"['temp_5282', 'Ram Prastha Crossing', '66', 'Ram Prastha Crossing']",,,,,
473UP_DTC,"['temp_5712', 'Power House', 'temp_4456', 'Power House']",,,,,
47ADOWN_DTC,"['2993', 'Shadipur Colony', '2993', 'Shadipur Colony']",,,,,
490UP_DTC,"['4229', 'C R Park Market 1', '4216', 'C R Park Market 1']",,,,,
493DOWN_DTC,"['2558', 'Timarpur', '199', 'Timarpur']",,,,,
493UP_DTC,"['2558', 'Timarpur', '199', 'Timarpur']",,,,,
500UP_DTC,"['temp_5744', 'PNB Geetanjali', 'temp_5680', 'PNB Geetanjali']",,,,,
502UP_DTC,"['1025', 'Prithvi Raj Road', '4257', 'Prithvi Raj Road']",,,,,
503UP_DTC,"['1025', 'Prithvi Raj Road', '4257', 'Prithvi Raj Road']",,,,,
505DOWN_DTC,"['1025', 'Prithvi Raj Road', '4257', 'Prithvi Raj Road']",,,,,
506STLUP_DTC,"['temp_8560', 'Bhati Kalan More', 'temp_8561', 'Bhati Kalan More']",,,,,
506UP_DTC,"['temp_8560', 'Bhati Kalan More', 'temp_8561', 'Bhati Kalan More']",,,,,
507DOWN_DTC,"['849', 'IIT Gate', '3741', 'IIT Gate']","['2404', 'Munirka Family Planning', '2406', 'Munirka Family Planning']",,,,
507UP_DTC,"['temp_5701', 'Mata Mandir New Friends Colony', 'temp_5701', 'Mata Mandir New Friends Colony']",,,,,
511ADOWN_DTC,"['1052', 'Satya Niketan / Gurudwara Moti Bagh', '1052', 'Satya Niketan / Gurudwara Moti Bagh']","['1516', 'Nehru Place', '1702', 'Nehru Place']",,,,
511AUP_DTC,"['2375', 'R K Puram Sec-4', '2203', 'R K Puram Sec-4']",,,,,
511DOWN_DTC,"['4178', 'Moti Bagh 1', '4178', 'Moti Bagh 1']",,,,,
511UP_DTC,"['1071', 'DDA Flats Kalka Ji', '1073', 'DDA Flats Kalka Ji']",,,,,
512UP_DTC,"['temp_5744', 'PNB Geetanjali', 'temp_5680', 'PNB Geetanjali']",,,,,
521DOWN_DTC,"['4144', 'Defence Colony', '4144', 'Defence Colony']",,,,,
521UP_DTC,"['1770', 'Moti Nagar Industrial Area', '1771', 'Moti Nagar Industrial Area']",,,,,
522ADOWN_DTC,"['2993', 'Shadipur Colony', '2993', 'Shadipur Colony']",,,,,
522AUP_DTC,"['temp_5744', 'PNB Geetanjali', 'temp_5680', 'PNB Geetanjali']",,,,,
522DOWN_DTC,"['3075', 'Inder Puri JJ Colony', 'temp_8334', 'Inder Puri JJ Colony']",,,,,
522SPLUP_DTC,"['331', 'Lodhi Colony', '2426', 'Lodhi Colony']",,,,,
523UP_DTC,"['4178', 'Moti Bagh 1', '4178', 'Moti Bagh 1']",,,,,
525STLDOWN_DTC,"['173', 'C-1 Janak Puri', '174', 'C-1 Janak Puri']",,,,,
525STLUP_DTC,"['174', 'C-1 Janak Puri', '1479', 'C-1 Janak Puri']",,,,,
525UP_DTC,"['temp_5815', 'Aya Nagar', 'temp_5871', 'Aya Nagar']",,,,,
534ADOWN_DTC,"['3692', 'ISIC Hospital (Verma farm)', '3692', 'ISIC Hospital (Verma farm)']","['1516', 'Nehru Place', '1702', 'Nehru Place']",,,,
534AUP_DTC,"['67', 'Anand Vihar ISBT Main Road', '67', 'Anand Vihar ISBT Main Road']","['2504', 'ISIC Hospital (Verma farm)', '2504', 'ISIC Hospital (Verma farm)']",,,,
534CDOWN_DTC,"['temp_9275', 'Anand Vihar ISBT Main Road', 'temp_4376', 'Anand Vihar ISBT Main Road']",,,,,
534DOWN_DTC,"['1516', 'Nehru Place', '1702', 'Nehru Place']",,,,,
534UP_DTC,"['67', 'Anand Vihar ISBT Main Road', '67', 'Anand Vihar ISBT Main Road']",,,,,
536UP_DTC,"['4212', 'AB Block Sarojini Nagar', '1811', 'AB Block Sarojini Nagar']",,,,,
539ADOWN_DTC,"['3692', 'ISIC Hospital (Verma farm)', '3692', 'ISIC Hospital (Verma farm)']",,,,,
539UP_DTC,"['2497', 'Vasant Kunj Sec-A ILBS', 'temp_8636', 'Vasant Kunj Sec-A ILBS']","['temp_8641', 'Mahipal Pur Extension', 'temp_8641', 'Mahipal Pur Extension']","['2028', 'Chhawla Village', '2028', 'Chhawla Village']",,,
542DOWN_DTC,"['1406', 'South Extension', '1407', 'South Extension']",,,,,
542UP_DTC,"['65', 'Ram Prastha Temple', 'temp_4985', 'Ram Prastha Temple']",,,,,
543ADOWN_DTC,"['1406', 'South Extension', '1407', 'South Extension']",,,,,
543AUP_DTC,"['1217', 'APS Colony', 'temp_5538', 'APS Colony']",,,,,
543DOWN_DTC,"['1406', 'South Extension', '1407', 'South Extension']",,,,,
567ADOWN_DTC,"['1425', 'Peera Garhi Chowk', '1379', 'Peera Garhi Chowk']","['1516', 'Nehru Place', '1702', 'Nehru Place']","['1702', 'Nehru Place', 'temp_5652', 'Nehru Place']",,,
567DOWN_DTC,"['1378', 'Peera Garhi Metro Station', '1378', 'Peera Garhi Metro Station']",,,,,
567UP_DTC,"['1709', 'South Extension', '1407', 'South Extension']",,,,,
569EXTDOWN_DTC,"['1427', 'Multan Nagar', '1490', 'Multan Nagar']",,,,,
569EXTUP_DTC,"['1427', 'Multan Nagar', '1490', 'Multan Nagar']",,,,,
578DOWN_DTC,"['2507', 'Mahipal Pur Village', 'temp_6889', 'Mahipal Pur Village']",,,,,
580DOWN_DTC,"['330', 'Lodhi Colony 18-Block', '330', 'Lodhi Colony 18-Block']",,,,,
580UP_DTC,"['331', 'Lodhi Colony', '3323', 'Lodhi Colony']",,,,,
588DOWN_DTC,"['1819', 'Dholi Piao', 'temp_6093', 'Dholi Piao']",,,,,
605DOWN_DTC,"['temp_5932', 'Vasant Kunj Sec-C-8', 'temp_6357', 'Vasant Kunj Sec-C-8']",,,,,
605UP_DTC,"['temp_5380', 'Prithvi Raj Road Crossing', '1026', 'Prithvi Raj Road Crossing']","['2504', 'ISIC Hospital (Verma farm)', '2504', 'ISIC Hospital (Verma farm)']",,,,
610ADOWN_DTC,"['2201', 'R K Puram Sec-3', '2202', 'R K Puram Sec-3']",,,,,
610AUP_DTC,"['1110', 'Balmiki Mandir Marg', 'temp_8321', 'Balmiki Mandir Marg']",,,,,
610UP_DTC,"['2431', 'Dev Nagar / Khalsa College', '2431', 'Dev Nagar / Khalsa College']","['temp_8321', 'Balmiki Mandir Marg', 'temp_8321', 'Balmiki Mandir Marg']",,,,
611AUP_DTC,"['2374', 'RK Puram Sec-9', 'temp_6177', 'RK Puram Sec-9']",,,,,
611DOWN_DTC,"['1052', 'Satya Niketan / Gurudwara Moti Bagh', '1052', 'Satya Niketan / Gurudwara Moti Bagh']","['1406', 'South Extension', '1407', 'South Extension']",,,,
621UP_DTC,"['temp_5380', 'Prithvi Raj Road Crossing', '1026', 'Prithvi Raj Road Crossing']",,,,,
623ADOWN_DTC,"['2628', 'Africa Avenue', '2628', 'Africa Avenue']","['1114', 'Delhi Secretariat', 'temp_4494', 'Delhi Secretariat']",,,,
623AUP_DTC,"['temp_4494', 'Delhi Secretariat', 'temp_4494', 'Delhi Secretariat']","['2824', 'Africa Avenue', '2824', 'Africa Avenue']",,,,
623BDOWN_DTC,"['temp_5932', 'Vasant Kunj Sec-C-8', 'temp_6357', 'Vasant Kunj Sec-C-8']","['2628', 'Africa Avenue', '2628', 'Africa Avenue']",,,,
623BUP_DTC,"['temp_4494', 'Delhi Secretariat', '133', 'Delhi Secretariat']","['2824', 'Africa Avenue', '2824', 'Africa Avenue']","['2504', 'ISIC Hospital (Verma farm)', '2504', 'ISIC Hospital (Verma farm)']",,,
623DOWN_DTC,"['2628', 'Africa Avenue', '2628', 'Africa Avenue']",,,,,
623UP_DTC,"['temp_8197', 'Jharkhandi', 'temp_8197', 'Jharkhandi']","['2824', 'Africa Avenue', '2824', 'Africa Avenue']",,,,
624ADOWN_DTC,"['temp_7323', 'Mother Dairy', '1847', 'Mother Dairy']","['133', 'Delhi Secretariat', '133', 'Delhi Secretariat']",,,,
631DOWN_DTC,"['1044', 'Naraina Vihar', '1044', 'Naraina Vihar']","['1044', 'Naraina Vihar', '1044', 'Naraina Vihar']","['1052', 'Satya Niketan / Gurudwara Moti Bagh', '1052', 'Satya Niketan / Gurudwara Moti Bagh']",,,
631UP_DTC,"['3356', 'Shalimar Bagh A Block', '3356', 'Shalimar Bagh A Block']","['3356', 'Shalimar Bagh A Block', '3356', 'Shalimar Bagh A Block']","['3356', 'Shalimar Bagh A Block', '3356', 'Shalimar Bagh A Block']","['3356', 'Shalimar Bagh A Block', '3356', 'Shalimar Bagh A Block']","['3356', 'Shalimar Bagh A Block', '3356', 'Shalimar Bagh A Block']",
680UP_DTC,"['2201', 'R K Puram Sec-3', '2202', 'R K Puram Sec-3']","['173', 'C-1 Janak Puri', '174', 'C-1 Janak Puri']",,,,
701DOWN_DTC,"['temp_6297', 'SHIV RAM PARK', 'temp_6297', 'SHIV RAM PARK']",,,,,
701UP_DTC,"['973', 'Karala Crossing', '1235', 'Karala Crossing']","['temp_6297', 'SHIV RAM PARK', 'temp_6297', 'SHIV RAM PARK']",,,,
708DOWN_DTC,"['temp_6297', 'SHIV RAM PARK', 'temp_6297', 'SHIV RAM PARK']",,,,,
708UP_DTC,"['temp_4733', 'Narela Terminal', 'temp_4733', 'Narela Terminal']","['1344', 'Mile Stone / Shiv Shankar Dharam Kanta', '1344', 'Mile Stone / Shiv Shankar Dharam Kanta']","['1500', 'Nangloi JJ Colony Lokesh Cinema', '1500', 'Nangloi JJ Colony Lokesh Cinema']","['temp_6297', 'SHIV RAM PARK', 'temp_6297', 'SHIV RAM PARK']",,
711AUP_DTC,"['1052', 'Satya Niketan / Gurudwara Moti Bagh', '1052', 'Satya Niketan / Gurudwara Moti Bagh']","['1406', 'South Extension', '1407', 'South Extension']",,,,
715UP_DTC,"['3692', 'ISIC Hospital (Verma farm)', '3692', 'ISIC Hospital (Verma farm)']","['3695', 'Vasant Kunj sec-B1', '2500', 'Vasant Kunj sec-B1']","['temp_8636', 'Vasant Kunj Sec-A ILBS', '3698', 'Vasant Kunj Sec-A ILBS']",,,
717ADOWN_DTC,"['3692', 'ISIC Hospital (Verma farm)', '3692', 'ISIC Hospital (Verma farm)']",,,,,
717AUP_DTC,"['2483', 'Ambedkar Nagar Depot', 'temp_4440', 'Ambedkar Nagar Depot']",,,,,
717BDOWN_DTC,"['3692', 'ISIC Hospital (Verma farm)', '3692', 'ISIC Hospital (Verma farm)']",,,,,
717BUP_DTC,"['2483', 'Ambedkar Nagar Depot', 'temp_4440', 'Ambedkar Nagar Depot']",,,,,
717DOWN_DTC,"['3692', 'ISIC Hospital (Verma farm)', '3692', 'ISIC Hospital (Verma farm)']","['3698', 'Vasant Kunj Sec-A ILBS', 'temp_8636', 'Vasant Kunj Sec-A ILBS']","['temp_5601', 'Dhaula Peer / Lado Sarai', '2491', 'Dhaula Peer / Lado Sarai']","['173', 'C-1 Janak Puri', '174', 'C-1 Janak Puri']",,
717UP_DTC,"['174', 'C-1 Janak Puri', '1479', 'C-1 Janak Puri']","['2504', 'ISIC Hospital (Verma farm)', '2504', 'ISIC Hospital (Verma farm)']",,,,
718DOWN_DTC,"['temp_6404', 'Puspanjali G Block', 'temp_6404', 'Puspanjali G Block']","['596', 'Dwarka Sec-21 Crossing', '3127', 'Dwarka Sec-21 Crossing']","['temp_6384', 'Dabri Xing', 'temp_6384', 'Dabri Xing']",,,
718UP_DTC,"['temp_6384', 'Dabri Xing', 'temp_6384', 'Dabri Xing']","['2623', 'Puspanjali G Block', '2623', 'Puspanjali G Block']",,,,
720UP_DTC,"['temp_8197', 'Jharkhandi', 'temp_8197', 'Jharkhandi']",,,,,
722DOWN_DTC,"['2507', 'Mahipal Pur Village', 'temp_6889', 'Mahipal Pur Village']",,,,,
722UP_DTC,"['1217', 'APS Colony', 'temp_5538', 'APS Colony']","['temp_6420', 'Mahipal Pur Extension', 'temp_8641', 'Mahipal Pur Extension']",,,,
724CDOWN_DTC,"['1072', 'DDA Market kalka Ji', '1072', 'DDA Market kalka Ji']","['4215', 'C R Park', '4230', 'C R Park']",,,,
724CUP_DTC,"['4229', 'C R Park Market 1', '4216', 'C R Park Market 1']",,,,,
724EXTUP_DTC,"['1516', 'Nehru Place', '1702', 'Nehru Place']","['1702', 'Nehru Place', 'temp_5652', 'Nehru Place']",,,,
724UP_DTC,"['1516', 'Nehru Place', '1702', 'Nehru Place']","['1702', 'Nehru Place', 'temp_5652', 'Nehru Place']",,,,
729UP_DTC,"['1217', 'APS Colony', 'temp_5538', 'APS Colony']",,,,,
73UP_DTC,"['67', 'Anand Vihar ISBT Main Road', '67', 'Anand Vihar ISBT Main Road']","['temp_4494', 'Delhi Secretariat', '133', 'Delhi Secretariat']",,,,
740AUP_DTC,"['67', 'Anand Vihar ISBT Main Road', '67', 'Anand Vihar ISBT Main Road']","['temp_4494', 'Delhi Secretariat', '133', 'Delhi Secretariat']",,,,
740BUP_DTC,"['67', 'Anand Vihar ISBT Main Road', '67', 'Anand Vihar ISBT Main Road']","['temp_4494', 'Delhi Secretariat', '133', 'Delhi Secretariat']",,,,
740DOWN_DTC,"['899', 'A-3 Janak Puri', '707', 'A-3 Janak Puri']","['1114', 'Delhi Secretariat', 'temp_4494', 'Delhi Secretariat']",,,,
740EXTDOWN_DTC,"['1114', 'Delhi Secretariat', 'temp_4494', 'Delhi Secretariat']",,,,,
740EXTUP_DTC,"['67', 'Anand Vihar ISBT Main Road', '67', 'Anand Vihar ISBT Main Road']","['temp_4494', 'Delhi Secretariat', '133', 'Delhi Secretariat']",,,,
741AUP_DTC,"['temp_6092', 'Dholi Piao', 'temp_6093', 'Dholi Piao']","['2347', 'Meera Bagh', '2347', 'Meera Bagh']",,,,
745DOWN_DTC,"['2507', 'Mahipal Pur Village', 'temp_6889', 'Mahipal Pur Village']",,,,,
753UP_DTC,"['2993', 'Shadipur Colony', '2993', 'Shadipur Colony']",,,,,
761UP_DTC,"['2947', 'Meera Bagh', '2347', 'Meera Bagh']","['2943', 'Peera Garhi Chowk', '1379', 'Peera Garhi Chowk']",,,,
764DOWN_DTC,"['3319', 'DPS Matiyala', '644', 'DPS Matiyala']",,,,,
